                                         GEOID  votes_dem  votes_rep  ...  index_right  District  id
1039                                  12107-12        238       1590  ...            3         4   4
1043                                  12107-14         46        446  ...            3         4   4
1046                                  12107-16        368       1119  ...            3         4   4
1048                                  12107-15         17        396  ...            3         4   4
1050                                  12107-18        603       1297  ...            3         4   4
1198                                 12019-600       1103       3119  ...            3         4   4
1199                                 12019-601        118        530  ...            3         4   4
1201                                 12019-602        232        659  ...            3         4   4
1207                                 12019-604        727       2162  ...            3         4   4
1212                                 12019-606       2387       3008  ...            3         4   4
1258                                 12019-610        104        794  ...            3         4   4
1260                                 12019-612         72        511  ...            3         4   4
1485                                12031-0903       1138        759  ...            3         4   4
1487                                12031-0902       1633         70  ...            3         4   4
1491                                12031-0905       1078        555  ...            3         4   4
1492                                12031-0904       1573         59  ...            3         4   4
1498                                12031-0901       1581        565  ...            3         4   4
1502                                12031-0907        720        604  ...            3         4   4
1503                                12031-0906        523        625  ...            3         4   4
1504                                12031-0909        828         75  ...            3         4   4
1505                                12031-0908       1685       1059  ...            3         4   4
1529                                12031-0914       2230       1308  ...            3         4   4
1534                                12031-0913       1083        512  ...            3         4   4
1541                                12031-0910       1312        173  ...            3         4   4
1543                                12031-0912        848         36  ...            3         4   4
1546                                12031-0911       1724        411  ...            3         4   4
1917                                 12109-110        140        593  ...            3         4   4
1998                                 12109-106       1162       3482  ...            3         4   4
2030                                 12109-109       1090       2597  ...            3         4   4
2095                                 12019-500        817       1779  ...            3         4   4
2099                                 12019-503        282        997  ...            3         4   4
2102                                 12019-504        305       1891  ...            3         4   4
2105                                 12019-506        294       1479  ...            3         4   4
2110                                 12019-508        409       2588  ...            3         4   4
2430                                12031-0301        654       1215  ...            3         4   4
2533                                  12007-02        298        303  ...            3         4   4
2536                                  12007-01        128       1258  ...            3         4   4
2550                                  12007-08        327       1122  ...            3         4   4
2552                                  12007-07        474        385  ...            3         4   4
2563                                  12001-14        346        659  ...            3         4   4
2659                                  12007-12        431       1181  ...            3         4   4
2663                                  12007-10         81        741  ...            3         4   4
2726                                 12109-204        796       2424  ...            3         4   4
2742                                 12109-208        358        961  ...            3         4   4
3084                                12031-0604        517       1121  ...            3         4   4
3087                                12031-0603       1258       2051  ...            3         4   4
3321                                12031-1005       2513        140  ...            3         4   4
3322                                12031-1004       1780         64  ...            3         4   4
3323                                12031-1007        549        577  ...            3         4   4
3324                                12031-1006        673        674  ...            3         4   4
3325                                12031-1001       2030        172  ...            3         4   4
3326                                12031-1003       1179         51  ...            3         4   4
3328                                12031-1002       2013         91  ...            3         4   4
3331                                12031-1009       1330        730  ...            3         4   4
3332                                12031-1008       1753        910  ...            3         4   4
3341                                12031-1010        837        855  ...            3         4   4
3343                                12031-1016        865        587  ...            3         4   4
3344                                12031-1015       1277        847  ...            3         4   4
3346                                12031-1012       1542        548  ...            3         4   4
3348                                12031-1011        441        724  ...            3         4   4
3349                                12031-1014       1652        933  ...            3         4   4
3351                                12031-1013        485        537  ...            3         4   4
3374                                 12019-700         25        276  ...            3         4   4
3375                                 12019-702        449       1780  ...            3         4   4
3377                                 12019-704        288       1155  ...            3         4   4
3378                                 12019-706        454       2229  ...            3         4   4
3379                                 12019-708        205       1496  ...            3         4   4
3392                                 12019-710        319        577  ...            3         4   4
3622                                 12019-202        929       1451  ...            3         4   4
3627                                 12019-204        789       1164  ...            3         4   4
3631                                 12019-206        457        706  ...            3         4   4
3634                                 12019-208        456        761  ...            3         4   4
3663                                 12019-210        856       1647  ...            3         4   4
3670                                 12019-216        897       2331  ...            3         4   4
3673                                 12019-218        682       1838  ...            3         4   4
3750                                12031-0501       1493       1231  ...            3         4   4
3757                                12031-0506       1698       1212  ...            3         4   4
3759                                12031-0509       1440       2021  ...            3         4   4
3760                                12031-0508       1753       2333  ...            3         4   4
3762                                12031-0502        391        535  ...            3         4   4
3763                                12031-0505        910       1202  ...            3         4   4
3764                                12031-0504        722        819  ...            3         4   4
3769                                 12089-102       2313       3263  ...            3         4   4
3770                                 12089-101       1170       1107  ...            3         4   4
4147                  12003-3A-NORTH MACCLENNY        397       2386  ...            3         4   4
4421                                 12019-100        213       2100  ...            3         4   4
4423                                 12019-102        429       2249  ...            3         4   4
4428                                 12019-106        461       2731  ...            3         4   4
4439                                 12019-110        570       1859  ...            3         4   4
4442                                 12019-112       1740       3500  ...            3         4   4
4444                                 12019-113       4471       3334  ...            3         4   4
4449                                 12019-115       2167       1953  ...            3         4   4
4450                                 12019-116       1983       1752  ...            3         4   4
4452                                 12019-118        896       2283  ...            3         4   4
4459                                 12019-122       1075       1904  ...            3         4   4
4462                                 12019-124        613       1269  ...            3         4   4
4464                                 12089-203        834       2428  ...            3         4   4
4466                                 12089-202       1514       2555  ...            3         4   4
4467                                 12019-128        730        835  ...            3         4   4
4469                                 12089-204       2008       4156  ...            3         4   4
4471                                 12089-201       2013       3378  ...            3         4   4
4577                                12031-1314        289        404  ...            3         4   4
4860                                 12019-400        592       1700  ...            3         4   4
4864                                 12019-406        670       1485  ...            3         4   4
4867                                 12019-408       1112       2733  ...            3         4   4
4882                                 12019-410       2185       4041  ...            3         4   4
4884                                 12019-412        666       2330  ...            3         4   4
4887                                 12019-414        733       1704  ...            3         4   4
5042                                12031-0804       1240        566  ...            3         4   4
5043                                12031-0803       3016        566  ...            3         4   4
5046                                12031-0806        445         25  ...            3         4   4
5047                                12031-0805       1385        386  ...            3         4   4
5052                                12031-0802       1798         86  ...            3         4   4
5053                                12031-0801       1312        250  ...            3         4   4
5062                                12031-0808       1050         52  ...            3         4   4
5065                                12031-0807        790         47  ...            3         4   4
5066                                12031-0809       1260         62  ...            3         4   4
5072                                12031-0815       1001         50  ...            3         4   4
5074                                12031-0814        573       2152  ...            3         4   4
5076                                12031-0817       1952        933  ...            3         4   4
5079                                12031-0816        451         71  ...            3         4   4
5081                                12031-0811        808         36  ...            3         4   4
5084                                12031-0810        199        865  ...            3         4   4
5086                                12031-0813       3309       1736  ...            3         4   4
5089                                12031-0812        803         55  ...            3         4   4
5101                                12031-0818        825        220  ...            3         4   4
5127                                 12089-302       1112       3323  ...            3         4   4
5131                                 12089-301        986       2428  ...            3         4   4
5133                                12031-0709       3363        265  ...            3         4   4
5135                                 12089-303        828       2893  ...            3         4   4
5136                                12031-0708        669        103  ...            3         4   4
5144                                12031-0710       2603        330  ...            3         4   4
5153                                12031-0712        930        180  ...            3         4   4
5154                                12031-0711        632         64  ...            3         4   4
5156                                12031-0714       1076        128  ...            3         4   4
5157                                12031-0713       1843        834  ...            3         4   4
5300                                12031-1203        199        869  ...            3         4   4
5303                                12031-1202        700       1273  ...            3         4   4
5304                                12031-1205       1678       1606  ...            3         4   4
5305                                12031-1204        466       1161  ...            3         4   4
5306                                12031-1201        617       1686  ...            3         4   4
5309                                12031-1207        225        501  ...            3         4   4
5311                                12031-1206       1328       1625  ...            3         4   4
5312                                12031-1209        698       2092  ...            3         4   4
5313                                12031-1208       1421       1417  ...            3         4   4
5331                                12031-1213       1905       1692  ...            3         4   4
5333                                12031-1210        934       1214  ...            3         4   4
5334                                12031-1212       2949       2255  ...            3         4   4
5335                                12031-1211       2433       1973  ...            3         4   4
5723                                 12019-302       1104       2230  ...            3         4   4
5726                                 12019-304       1033       2133  ...            3         4   4
5733                                 12019-308        721       1521  ...            3         4   4
5758                                 12019-310        497       1906  ...            3         4   4
5823                                 12089-401        624       4204  ...            3         4   4
5825                                 12089-403        207       2378  ...            3         4   4
5826                                 12089-402         67       1210  ...            3         4   4
5859                                12031-0705       2564       1364  ...            3         4   4
5860                                12031-0704       1710        360  ...            3         4   4
5861                                12031-0707       1698        153  ...            3         4   4
5862                                12031-0706        687         24  ...            3         4   4
5864                                12031-0701        518        260  ...            3         4   4
5866                                12031-0703       3205       3296  ...            3         4   4
5868                                12031-0702        629        139  ...            3         4   4
172                 12017-CITRUS HILLS N (208)        460       1085  ...           11        12  12
192                   12017-PINE RIDGE W (109)        892       2287  ...           11        12  12
201                                 12083-4540        209        588  ...           11        12  12
204                                  12101-097       1236       2187  ...           11        12  12
205                                  12101-098        995       1181  ...           11        12  12
207                                  12101-099       1666       1214  ...           11        12  12
218                                  12101-091        988       1773  ...           11        12  12
220                                  12101-092        674       1141  ...           11        12  12
222                                  12101-093        901       1432  ...           11        12  12
223                                  12101-094        715       1148  ...           11        12  12
224                                  12101-095       1126       1566  ...           11        12  12
225                                  12101-096       1124       1018  ...           11        12  12
227                                  12101-087       2042       2108  ...           11        12  12
229                                  12101-088        155        457  ...           11        12  12
231                                  12101-089        325        896  ...           11        12  12
236                                 12083-4520        689       1797  ...           11        12  12
237                                  12101-080        348        620  ...           11        12  12
238                                  12101-081        347        898  ...           11        12  12
240                                  12101-082       1003       1990  ...           11        12  12
241                                  12101-083       1935       3404  ...           11        12  12
244                                  12101-075       1193       1578  ...           11        12  12
245                                  12101-076        815       1482  ...           11        12  12
247                                  12101-077        691       1859  ...           11        12  12
248                                  12101-078        929       1459  ...           11        12  12
250                                  12101-079        266        965  ...           11        12  12
257                                  12101-070       1315       1981  ...           11        12  12
258                                  12101-071        371        903  ...           11        12  12
259                                 12083-4500        575       1149  ...           11        12  12
260                                  12101-072        954       1352  ...           11        12  12
261                                  12101-073       1985       2082  ...           11        12  12
262                                  12101-074         61         57  ...           11        12  12
264                                  12101-065       1330       1840  ...           11        12  12
267                                  12101-066       1215       1759  ...           11        12  12
270                                  12101-067        967       1795  ...           11        12  12
274                                  12101-068        825       1548  ...           11        12  12
283                                  12101-060        903        854  ...           11        12  12
284                                  12101-061        403        633  ...           11        12  12
285                                  12101-062       1499       2729  ...           11        12  12
286                                  12101-063        429        786  ...           11        12  12
288                                  12101-053        779       1036  ...           11        12  12
290                                  12101-054       1206       1425  ...           11        12  12
297                                  12101-057        705       1044  ...           11        12  12
298                                  12101-058        480        727  ...           11        12  12
301                                  12101-059       1960       2990  ...           11        12  12
310                                  12101-050        901       1158  ...           11        12  12
311                                  12101-051        875       1301  ...           11        12  12
312                                  12101-052       1645       2630  ...           11        12  12
313                                  12101-042       1651       2460  ...           11        12  12
314                                  12101-043        247        352  ...           11        12  12
316                                  12101-044        440        722  ...           11        12  12
318                                  12101-045       1236       2980  ...           11        12  12
320                                  12101-046       1252       1682  ...           11        12  12
324                                  12101-047        463        612  ...           11        12  12
326                                  12101-049       1430       2778  ...           11        12  12
348                                  12101-040        231        462  ...           11        12  12
349                                  12101-041        537       1151  ...           11        12  12
351                                  12101-031       1332       1615  ...           11        12  12
353                                  12101-032       1057       1538  ...           11        12  12
356                                  12101-033       1567       3374  ...           11        12  12
359                                  12101-034       1025       1828  ...           11        12  12
361                                  12101-035       2364       4067  ...           11        12  12
364                                  12101-036       2861       3616  ...           11        12  12
368                                  12101-038       2790       2570  ...           11        12  12
369                                  12101-039        260        529  ...           11        12  12
402                                  12101-030       1077       1506  ...           11        12  12
404                                  12101-020        143        317  ...           11        12  12
405                                  12101-021        246        474  ...           11        12  12
408                                  12101-023        564       1109  ...           11        12  12
411                                  12101-025       2329       3195  ...           11        12  12
412             12017-CRYSTAL RIVER CITY (105)        566       1211  ...           11        12  12
413                                  12101-026        781       1474  ...           11        12  12
414                                  12101-027       1371       3949  ...           11        12  12
415                                  12101-028       1312       1866  ...           11        12  12
417                                  12101-029        418        694  ...           11        12  12
429                                  12101-010        262        613  ...           11        12  12
430                                  12101-011       1618       2265  ...           11        12  12
432                                  12101-012        697       1517  ...           11        12  12
434                                  12101-013        824       2064  ...           11        12  12
435                                  12101-014       2144       3263  ...           11        12  12
436                                  12101-015       2144       3064  ...           11        12  12
439                                  12101-017       1890       2364  ...           11        12  12
441                                  12101-018        381        620  ...           11        12  12
443                                  12101-019        971       2243  ...           11        12  12
452                                  12101-001       1713       1649  ...           11        12  12
454                                  12101-002        268        502  ...           11        12  12
455                                  12101-003        957       1820  ...           11        12  12
458                                  12101-004        353        777  ...           11        12  12
459                                  12101-005        661       1587  ...           11        12  12
464                                  12101-007       3272       2994  ...           11        12  12
467                                  12101-008       1904       2791  ...           11        12  12
470                                  12101-009        176        515  ...           11        12  12
643                      12017-LECANTO N (204)       1077       2164  ...           11        12  12
774                      12017-RED LEVEL (100)        541       1904  ...           11        12  12
946                         12017-HOLDER (200)        554       1766  ...           11        12  12
1264                                 12105-101        363       1605  ...           11        12  12
1732                   12017-INVERNESS N (402)        890       2495  ...           11        12  12
1822                                  12053-44       2234       3222  ...           11        12  12
1824                                  12053-42        835       1647  ...           11        12  12
1826                                  12053-40       1829       2625  ...           11        12  12
1830                                  12053-47       1449       2460  ...           11        12  12
1831                                  12053-48       1166       1869  ...           11        12  12
1836                                  12053-54        619       1053  ...           11        12  12
1846                                  12053-23       1337       2041  ...           11        12  12
1847                                  12053-24       2112       5420  ...           11        12  12
1848                                  12053-21       1033       1613  ...           11        12  12
1852                                  12053-29       1201       1686  ...           11        12  12
1854                                  12053-27       1622       2692  ...           11        12  12
1855                                  12053-25       1146       1822  ...           11        12  12
1856                                  12053-34       1627       2350  ...           11        12  12
1857                                  12053-33       1126       1958  ...           11        12  12
1858                                  12053-30        557       1579  ...           11        12  12
1859                                  12053-31        976       2253  ...           11        12  12
1862                                  12053-38       1050       1647  ...           11        12  12
1864                                  12053-39        728       1068  ...           11        12  12
1865                                  12053-36       1133       2345  ...           11        12  12
1870                                  12053-01        292        901  ...           11        12  12
1871                                  12053-02        278       1313  ...           11        12  12
1872                                  12053-09        424       1505  ...           11        12  12
1874                                  12053-08        841       2050  ...           11        12  12
1875                                  12053-06        811       2340  ...           11        12  12
1877                                  12053-04       1689       2553  ...           11        12  12
1890                                  12053-12        781       1658  ...           11        12  12
1891                                  12053-10       1064       2300  ...           11        12  12
1897                                  12053-18        740       1727  ...           11        12  12
1899                                  12053-19       1923       3740  ...           11        12  12
1900                                  12053-17       1196       2669  ...           11        12  12
1901                                  12053-14       2227       4148  ...           11        12  12
1902                                  12053-15       1473       2158  ...           11        12  12
1968                  12017-FOREST HILLS (203)        879       1645  ...           11        12  12
2098                                 12103-710        201        370  ...           11        12  12
2103                                 12103-711        922       1797  ...           11        12  12
2115                                 12103-706        849       1293  ...           11        12  12
2140                                 12103-704        980       1420  ...           11        12  12
2142                                 12103-701       1517       2132  ...           11        12  12
2386              12017-CRYSTAL RIVER NW (104)        463       1266  ...           11        12  12
2422                12075-09-INGLIS/YANKEETOWN        475       1587  ...           11        12  12
2424           12017-HOMOSASSA SPRINGS S (305)       1034       2905  ...           11        12  12
2500                 12017-FLORAL CITY S (408)        598       1764  ...           11        12  12
2679           12017-INVERNESS CITY HALL (403)       1350       2525  ...           11        12  12
2712              12017-CITRUS SPRINGS S (110)       1307       2978  ...           11        12  12
2841                                12083-0050        385        713  ...           11        12  12
2870                                 12101-110        954       1225  ...           11        12  12
2871                                 12101-111       1278       2065  ...           11        12  12
2891                                 12101-100        637       1160  ...           11        12  12
2894                                 12101-102        798       1090  ...           11        12  12
2896                                 12101-103        864       1046  ...           11        12  12
2900                                 12101-105       1071       1699  ...           11        12  12
2901                                 12101-106       1195       1623  ...           11        12  12
2902                                 12101-107       2454       2133  ...           11        12  12
2903                                 12101-108       1677       2905  ...           11        12  12
2904                                 12101-109       2043       2670  ...           11        12  12
3153                  12017-PINE RIDGE E (108)        947       2017  ...           11        12  12
3208             12017-SUGARMILL WOODS N (307)       2739       5451  ...           11        12  12
3269                     12017-LECANTO S (300)        477       1608  ...           11        12  12
3427                 12017-FLORAL CITY N (407)        554       1419  ...           11        12  12
3684           12017-HOMOSASSA SPRINGS N (302)       1106       3212  ...           11        12  12
3739               12017-CRYSTAL RIVER E (107)        702       1612  ...           11        12  12
3765                   12017-INVERNESS W (406)        611       1657  ...           11        12  12
3836                    12017-HERNANDO N (201)        840       1921  ...           11        12  12
3848                    12017-CITRONELLE (101)        609       1989  ...           11        12  12
4291                                 12057-518        207        489  ...           11        12  12
4330                                 12057-531       1366       1981  ...           11        12  12
4370                12017-CITRUS HILLS S (202)       1808       3698  ...           11        12  12
4592               12017-BEVERLY HILLS W (206)        668       1120  ...           11        12  12
4739               12017-CRYSTAL RIVER S (301)       1375       3793  ...           11        12  12
5128                   12017-INVERNESS S (405)       1571       3540  ...           11        12  12
5322                                 12119-123        489       1400  ...           11        12  12
5325                                 12119-121        312       1180  ...           11        12  12
5327                                 12119-120       1407       3280  ...           11        12  12
5329                 12017-GOSPEL ISLAND (404)        649       1753  ...           11        12  12
5344                                 12119-118        497       1701  ...           11        12  12
5347                                 12119-114        545       1881  ...           11        12  12
5667                12017-PLEASANT GROVE (400)        400       1401  ...           11        12  12
5789         12017-CENTRAL BEVERLY HILLS (205)        579       1116  ...           11        12  12
5857                     12017-DUNNELLON (102)        251        565  ...           11        12  12
5867  12017-CITRUS SPRINGS CHURCH OF GOD (103)        595       1485  ...           11        12  12
176                                 12083-4560       1186        795  ...           10        11  11
182                                  12105-401       2141       1312  ...           10        11  11
201                                 12083-4540        209        588  ...           10        11  11
286                                  12101-063        429        786  ...           10        11  11
304                                  12105-421        774        806  ...           10        11  11
405                                  12101-021        246        474  ...           10        11  11
455                                  12101-003        957       1820  ...           10        11  11
501                                  12069-099        421        718  ...           10        11  11
506                                  12069-090        498        587  ...           10        11  11
508                                  12069-093        834       1470  ...           10        11  11
510                                  12069-092        539       1345  ...           10        11  11
512                                  12069-095       1184       1435  ...           10        11  11
514                                  12069-094        621       1711  ...           10        11  11
517                                  12069-097       1933       1461  ...           10        11  11
519                                  12069-096        404        690  ...           10        11  11
612                                  12069-029        406        621  ...           10        11  11
616                                  12069-035        943       1305  ...           10        11  11
617                                  12097-150        582        294  ...           10        11  11
618                                  12069-034        166        423  ...           10        11  11
619                                  12097-151       3268       3233  ...           10        11  11
621                                  12069-037        468        822  ...           10        11  11
623                                  12069-036        497        914  ...           10        11  11
624                                  12097-153          0          0  ...           10        11  11
626                                  12069-039        704       1303  ...           10        11  11
627                                  12097-154        777        502  ...           10        11  11
628                                  12069-038        952       1758  ...           10        11  11
630                                  12097-156        238        144  ...           10        11  11
631                                  12097-157        399        372  ...           10        11  11
635                                  12097-159          6         19  ...           10        11  11
638                                  12069-030        697       1522  ...           10        11  11
654                                  12069-044        712        734  ...           10        11  11
656                                  12069-043       1444       1610  ...           10        11  11
658                                  12069-046        407        633  ...           10        11  11
659                                  12069-045        864       1102  ...           10        11  11
660                                  12069-048       1208       1484  ...           10        11  11
662                                  12069-047       1182       1953  ...           10        11  11
664                                  12069-049        702       1535  ...           10        11  11
665                                  12069-040        384        539  ...           10        11  11
666                                  12069-042       1235       1788  ...           10        11  11
667                                  12069-041        223        577  ...           10        11  11
673                                  12069-007        467        675  ...           10        11  11
679                                  12069-009        183        713  ...           10        11  11
691                                  12069-011        840       1142  ...           10        11  11
694                                  12069-010        343        772  ...           10        11  11
697                                  12069-013        361        867  ...           10        11  11
698                                  12069-012        753       1453  ...           10        11  11
700                                  12069-015       1314       1023  ...           10        11  11
703                                  12069-014       1335       1559  ...           10        11  11
706                                  12069-017        384       1165  ...           10        11  11
708                                  12069-016        742       1613  ...           10        11  11
715                                  12097-137        181        184  ...           10        11  11
719                                  12069-019        660       1063  ...           10        11  11
720                                  12069-018        417       1210  ...           10        11  11
735                                  12069-022       3560       4235  ...           10        11  11
739                                  12069-021        572       1503  ...           10        11  11
742                                  12069-024        303        920  ...           10        11  11
744                                  12069-023       2558       2965  ...           10        11  11
746                                  12069-026       1053       1010  ...           10        11  11
747                                  12069-025        929       2246  ...           10        11  11
748                                  12069-028        347        307  ...           10        11  11
749                                  12069-027        513        159  ...           10        11  11
756                                  12069-020       1034       1931  ...           10        11  11
765                                  12069-077        120        178  ...           10        11  11
768                                  12069-079       2962       3047  ...           10        11  11
769                                  12069-078       1061       1779  ...           10        11  11
778                                  12069-071        170        865  ...           10        11  11
780                                  12069-070        276        519  ...           10        11  11
782                                  12069-073        475        854  ...           10        11  11
784                                  12069-072        457        764  ...           10        11  11
785                                  12069-075        517        992  ...           10        11  11
787                                  12069-074        445        805  ...           10        11  11
793                                  12069-088       1245       2030  ...           10        11  11
795                                  12069-087        740        825  ...           10        11  11
799                                  12069-089       2794       2770  ...           10        11  11
808                                  12069-080        959       1582  ...           10        11  11
810                                  12069-082       2479       1557  ...           10        11  11
811                                  12069-081       1375       1653  ...           10        11  11
813                                  12069-084       3949       2660  ...           10        11  11
816                                  12069-083        829       1378  ...           10        11  11
831                                  12069-056        232        324  ...           10        11  11
834                                  12069-059        804       1708  ...           10        11  11
836                                  12069-058       1481       1593  ...           10        11  11
847                                  12069-050        488        435  ...           10        11  11
851                                  12069-052       2289       2432  ...           10        11  11
860                                  12069-065        857       1498  ...           10        11  11
862                                  12069-068        727        811  ...           10        11  11
866                                  12069-067        918       2129  ...           10        11  11
869                                  12069-069        203        418  ...           10        11  11
874                                  12069-060        245        414  ...           10        11  11
877                                  12069-061        966       1656  ...           10        11  11
878                                  12069-063        344        603  ...           10        11  11
944                                  12069-006       1593       1946  ...           10        11  11
945                                  12069-005        525       1292  ...           10        11  11
946                         12017-HOLDER (200)        554       1766  ...           10        11  11
1161                                 12105-123       1435       1025  ...           10        11  11
1162                                 12105-124       2620       1900  ...           10        11  11
1206                                 12105-110       1140       2207  ...           10        11  11
1209                                 12105-111       1696       3857  ...           10        11  11
1217                                 12105-115       1044       1839  ...           10        11  11
1224                                 12105-117       1830       2678  ...           10        11  11
1264                                 12105-101        363       1605  ...           10        11  11
1265                                 12105-102        200        833  ...           10        11  11
1266                                 12105-103       1881       1561  ...           10        11  11
1267                                 12105-104       1302       1123  ...           10        11  11
1269                                 12105-105       1026        684  ...           10        11  11
1275                                 12105-107        992       2623  ...           10        11  11
1278                                 12105-108        254        897  ...           10        11  11
